"","id","genero","percepseg","victima","confianzacom","confianzapol"
"1",2277,2,4,1,3,3
"2",9874,2,3,2,2,5
"3",2387,2,3,2,4,7
"4",2585,2,2,2,1,6
"5",3828,1,3,1,1,6
"6",1363,1,2,1,2,4
"7",1446,1,2,2,2,5
"8",224,1,3,2,4,6
"9",805,1,2,2,3,2
"10",1661,1,2,2,2,6
"11",4900,2,4,2,4,5
"12",2590,2,4,1,4,5
"13",9079,1,1,2,1,1
"14",2199,2,3,2,2,5
"15",1203,1,2,2,2,5
"16",1700,1,2,2,3,4
"17",2123,2,3,2,2,4
"18",8374,2,3,1,1,4
"19",7097,2,3,2,3,4
"20",1189,2,4,2,3,1
"21",1549,1,4,1,3,2
"22",9694,1,3,1,4,7
"23",9502,2,4,1,4,3
"24",7579,1,1,1,2,1
"25",3144,2,3,1,3,1
"26",9653,1,3,2,3,2
"27",1589,2,2,2,3,4
"28",8090,1,3,2,2,4
"29",7012,2,2,1,1,3
"30",666,1,2,1,4,2
"31",9161,1,3,1,2,4
"32",9386,2,4,1,3,5
"33",2464,2,3,2,3,6
"34",765,1,3,2,1,3
"35",6371,2,4,1,3,5
"36",9846,1,3,1,4,4
"37",7444,2,3,1,2,5
"38",4236,1,3,2,4,4
"39",6440,2,3,2,3,2
"40",6084,2,3,2,2,3
"41",7315,1,4,1,1,6
"42",2899,1,4,1,4,1
"43",5056,2,4,2,3,5
"44",605,2,2,2,3,4
"45",3075,1,3,1,3,5
"46",1283,2,1,2,1,6
"47",6173,1,1,2,1,4
"48",8515,1,2,2,1,6
"49",7126,1,1,2,2,4
"50",1719,1,4,1,4,1
"51",4364,2,4,2,4,6
"52",2342,2,1,2,1,2
"53",3318,2,3,2,4,7
"54",3976,2,3,2,1,2
"55",5732,1,2,2,4,3
"56",190,2,4,2,3,1
"57",709,2,3,1,3,4
"58",7212,1,4,1,4,2
"59",8641,1,1,2,1,5
"60",3854,1,2,2,3,1
"61",8749,2,4,2,2,4
"62",1732,2,3,2,3,4
"63",3013,1,2,2,3,1
"64",8421,1,4,1,2,1
"65",8418,2,1,2,2,7
"66",9401,1,1,2,2,4
"67",9102,1,2,2,4,4
"68",3882,1,2,2,2,5
"69",212,1,2,1,2,1
"70",6643,2,4,2,2,3
"71",1168,1,2,2,1,3
"72",6121,2,2,1,2,6
"73",9075,1,3,1,3,2
"74",8233,2,4,1,2,4
"75",126,2,4,2,2,1
"76",5832,1,3,1,2,4
"77",5697,1,1,2,1,1
"78",7011,1,2,2,3,3
"79",9903,2,4,1,3,5
"80",3058,2,3,1,4,4
"81",9055,1,2,1,3,3
"82",3587,1,2,1,3,2
"83",5622,2,2,2,2,3
"84",4042,1,4,2,2,4
"85",9224,1,4,1,3,4
"86",922,2,4,2,4,4
"87",8123,2,4,2,4,3
"88",6449,1,4,1,2,1
"89",4550,2,3,2,3,7
"90",3919,1,4,2,3,3
"91",1571,2,4,2,3,3
"92",2817,2,4,2,4,2
"93",5782,2,3,1,3,1
"94",927,1,4,1,3,2
"95",6140,1,2,2,4,4
"96",4967,2,4,1,4,3
"97",5352,2,3,2,3,6
"98",109,2,3,2,3,2
"99",7490,1,4,1,2,1
"100",9816,2,2,2,3,4
"101",5680,2,4,2,3,7
"102",4476,1,4,1,3,5
"103",1738,1,3,1,2,4
"104",5545,1,3,1,2,7
"105",1792,1,2,1,1,4
"106",7354,1,4,2,2,7
"107",4141,1,1,2,3,6
"108",9531,2,3,2,2,6
"109",90,2,2,2,3,4
"110",7118,1,4,2,3,2
"111",5279,2,1,2,3,1
"112",8514,2,2,2,1,4
